TenantId,OrgName,CountryCode,TotalUsers,EXOEnabledUsers,SPOEnabledUsers,CloudEnabledUsers,CloudActiveUsers,WXPCloudUsers,WXPCloudCollaborators,WXPCloudContributors,WXPCloudCoauthors,TotalMailUsers,TotalAttachments,UsersSentAttachment,OWAMailUsers,TotalOWAMails,TotalGoogleLinks,UsersSentGoogleLink,TotalSPOLinks,UsersSentSPOLink,GoogleAddinDevices,GoogleAddinUsers,Xcoord1,Ycoord1,Xcoord,Ycoord,Legend,CoauthorRatio2,CoauthorRatio
8e681491-9aa1-454e-b90c-c39afa008e79,KAYA LIMITED,IN,745,745,207,745,1,1,0,0,0,164,98840,143,9,51,0,0,0,0,0,0,0.689862698,0.303888883,0.445974101,0.217582859,Others,0,0
6515e1d4-4651-4a9f-8a0b-838e05cb3ef7,SHOPRITE CHECKERS (PTY) LIMITED,ZA,6734,6625,6621,6734,3252,915,658,372,315,704,1040995,615,104,3529,0,0,22,6,2,2,0.976008142,0.303866692,0.630957949,0.217566971,Have Google Addin,0.046777547,4.677754678
9fe8c45a-b16c-40fb-9d41-5047a3fc1caf,PMU,FR,1187,137,1145,1187,324,247,101,76,66,76,443492,75,5,74,3,1,0,0,0,0,0.933309525,0.303762011,0.603354664,0.217492019,Sent Google links,0.055602359,5.560235889
042b39ed-170c-4362-8699-1a01501b33c9,SAUDI AIR NAVIGATION SERVICES,SA,1660,1655,1659,1660,94,51,22,13,7,253,98115,249,17,43,0,0,0,0,0,0,0.853729317,0.303657345,0.551908612,0.217417079,Others,0.004216867,0.421686747
07751f8b-9617-49d5-9024-85f034f400ec,DE LAGE LANDEN INTERNATIONAL B.V.,NL,7952,6236,6237,7952,757,457,161,100,51,220,956291,216,21,129,0,0,7,5,0,0,1.101474911,0.303332822,0.71206819,0.217184722,Others,0.006413481,0.641348089
f9662741-ee62-45c8-9da4-c53208ba8f44,EGARSAT  MATEPSS Nº276,ES,643,642,11,643,4,1,0,0,0,132,49109,125,26,141,0,0,0,0,0,0,0.706975103,0.303320525,0.457036722,0.217175917,Others,0,0
1e1519be-e526-4c76-b846-3d304e836d09,AMERICAN DRIVELINE SYSTEMS,US,866,859,119,866,19,15,7,4,4,100,537844,97,8,135,0,0,0,0,0,0,0.880063451,0.303276961,0.568932785,0.217144726,Others,0.004618938,0.461893764
60a2ce3e-88fe-408a-be09-00fe60c04063,MERRIMACK PHARMACEUTICALS,US,352,112,341,352,66,48,17,10,2,66,69838,64,6,16,0,0,0,0,0,0,0.638208493,0.303100526,0.412581315,0.217018399,Others,0.005681818,0.568181818
1382cee4-cfb2-42a2-8dc1-08eadad53bbc,EXPERT GLOBAL SOLUTIONS  INC.,US,11562,11420,1394,11562,49,29,5,3,0,1545,1552104,1340,378,2640,0,0,4,2,1,1,1.029967745,0.302996159,0.665841102,0.216943673,Have Google Addin,0,0
b241a935-f4f8-4a9e-90b5-29464c78396b,FUTURE MANAGEMENT  LLC,AE,325,314,15,325,8,11,10,9,8,67,85802,65,9,66,0,0,4,2,0,0,0.65904611,0.3028986,0.426052165,0.216873821,Others,0.024615385,2.461538462
71106310-5465-4477-9e71-dd4f757e444f,KITA DENSHI CORPORATION,JP,323,320,4,323,39,27,0,0,0,101,9330,87,32,235,0,0,0,0,0,0,0.457716864,0.302828072,0.295899267,0.216823324,Others,0,0
6d349a38-7093-4a31-b677-f056468b1b6d,CHROMA ATE INC,TW,517,425,85,517,4,1,1,1,0,82,116220,81,16,149,0,0,0,0,0,0,0.751478345,0.302404117,0.48580664,0.216519774,Others,0,0
